TransectID,veg_type,rate_m_yr,group
158,Healthy Vegetation,-1.2667428426133132,Healthy Vegetation
159,Degraded Vegetation,-1.056033080179262,Degraded Vegetation
160,Degraded Vegetation,-1.2604520705182876,Degraded Vegetation
161,Built-up,-1.1936108741954157,Built-up
162,Built-up,-1.3606830181694638,Built-up
163,Built-up,-0.9935172425984432,Built-up
164,Built-up,-0.8424705809340534,Built-up
165,Built-up,-0.7794692904028371,Built-up
166,Built-up,-1.1102607654824677,Built-up
167,Degraded Vegetation,-1.37659867557311,Degraded Vegetation
168,Degraded Vegetation,-1.1996955506302942,Degraded Vegetation
169,Degraded Vegetation,-0.615072675974959,Degraded Vegetation
170,Degraded Vegetation,-1.0527922924465385,Degraded Vegetation
171,Degraded Vegetation,-0.8609570229169569,Degraded Vegetation
172,Degraded Vegetation,-1.3159782355100182,Degraded Vegetation
173,Built-up,-1.3493160232485066,Built-up
175,Built-up,-1.3606230452214134,Built-up
177,Built-up,-1.036518649841439,Built-up
178,Built-up,-0.9200876069285008,Built-up
179,Degraded Vegetation,-1.199419372249645,Degraded Vegetation
180,Degraded Vegetation,-1.0151588114668195,Degraded Vegetation
181,Degraded Vegetation,-1.1275941366879887,Degraded Vegetation
182,Degraded Vegetation,-1.0970192472426912,Degraded Vegetation
183,Degraded Vegetation,-1.2212976790270245,Degraded Vegetation
184,Degraded Vegetation,-1.251068630767734,Degraded Vegetation
185,Degraded Vegetation,-1.1811492124410898,Degraded Vegetation
186,Degraded Vegetation,-1.3091122212251474,Degraded Vegetation
187,Degraded Vegetation,-1.3721046483405182,Degraded Vegetation
188,Degraded Vegetation,-1.3155587731108913,Degraded Vegetation
189,Built-up,-1.416943897531901,Built-up
190,Built-up,-1.6344811143461466,Built-up
191,Built-up,-1.8040687483275533,Built-up
193,Built-up,-1.304466703275979,Built-up
194,Built-up,-5.05741142533616,Built-up
195,Degraded Vegetation,-0.812276604601562,Degraded Vegetation
196,Degraded Vegetation,-0.7997722964629159,Degraded Vegetation
197,Degraded Vegetation,-0.8641699152198374,Degraded Vegetation
198,Built-up,-1.2567057816002225,Built-up
199,Degraded Vegetation,-0.7378371218629298,Degraded Vegetation
200,Built-up,-1.1678758041252024,Built-up
201,Built-up,-0.8851558447279438,Built-up
202,Built-up,-0.883654100969012,Built-up
203,Built-up,-0.7442755756316262,Built-up
204,Built-up,-1.1975633879949366,Built-up
